HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1102863,3,2,4,3,40,5,30,8,1957,1,1962,2,1,3,0,11.22,35.30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,31,26
1102871,1,2,2,1,20,8,0,0,1901,0,1901,2,0,0,0,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,87,87
1102905,3,1,8,6,44,6,60,5,1949,1,1952,2,1,0,1,0.00,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,39,36
1102921,3,2,2,2,40,7,0,0,1959,0,1959,2,1,0,0,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29,29
1102947,1,2,5,1,0,0,40,7,1952,1,1952,0,0,0,0,5.28,0.00,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,36,36
1102988,3,1,6,3,45,6,40,7,1956,1,1955,2,1,2,0,3.96,3.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,32,33
1102996,2,1,7,2,40,8,30,9,1957,1,1955,2,1,2,0,54.40,114.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,31,33
1103010,5,1,5,3,40,7,0,0,1957,0,1957,2,1,0,0,83.44,202.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,31,31
1103028,3,2,2,1,0,0,40,5,1926,1,1926,0,0,0,0,1.00,2.74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,62,62
1103051,4,2,6,2,0,0,40,7,1950,1,1950,0,1,1,0,16.82,20.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,38,38
1103101,3,1,6,4,40,8,37,5,1958,1,1957,2,1,0,0,9.20,26.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,30,31
1103259,3,1,7,3,45,7,40,7,1962,1,1962,2,1,0,1,71.38,170.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,26,26
1103283,3,1,2,3,0,3,0,5,1927,1,1913,2,0,0,0,0.29,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,61,75
1103309,1,2,1,3,0,0,20,5,1953,1,1953,0,1,1,0,12.41,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,35,35
1103341,3,1,6,2,60,9,20,7,1928,1,1927,2,0,0,0,1.83,7.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,60,61
