INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
Santa Rosa Junior College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,12,1,5,0.0130,5265,6122,9212,9063,12218,0.415301,0.577778,0.642857,27100.00,466,1785
Saybrook University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,11,0,18,,,,,,,,,,,,
Scripps College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,11,0.3296,,,,,,,,0.870588,40500.00,,
College of the Sequoias,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,2,4,0.0109,710,1013,3747,5285,,0.379447,,,21700.00,724,3166
Shasta Bible College and Graduate School,CA,Transnational Association of Christian Colleges and Schools,1,3,2,13,5,7,0.1905,,,,,,,,,,,
Shasta College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,22,5,12,0.0451,4354,4955,7390,10771,11875,0.260518,0.460317,0.545455,22300.00,626,1976
Sierra College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0372,2992,4250,6876,9244,10581,0.220728,0.375000,0.429688,25200.00,777,2679
Sierra College of Beauty,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.0000,,,,,,,,,12700.00,35,98
Trinity Law School,CA,Higher Learning Commission,0,4,2,11,0,18,,,,,,,0.326027,0.500000,0.702381,32300.00,66,559
Simpson University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,13,13,8,0.7761,,,,,,0.526171,0.646429,0.731844,30500.00,83,535
College of the Siskiyous,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,33,1,2,0.1037,6290,6893,10286,8605,11104,0.197309,0.427481,0.562500,21400.00,231,670
Charles A Jones Career and Education Center,CA,Council on Occupational Education,1,1,1,11,-2,-2,0.1740,8503,6521,,12965,12965,0.481203,,,22600.00,264,525
Skyline College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,5,12,0.0068,-216,849,3789,5998,3611,0.389381,,,30800.00,152,930
San Bernardino Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,4,0.0000,6499,7437,9123,11803,,0.216981,,,22000.00,629,2203
Saint Mary's College of California,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,14,0.7302,,,,,,0.646377,0.688022,0.766791,44600.00,72,845
Solano Community College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,22,5,12,0.0170,5474,5625,8598,10749,,0.184946,0.272727,0.375000,24700.00,401,1407
Sonoma State University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,21,13,13,0.3884,11548,12948,17596,20740,24162,0.584580,0.657554,0.715708,37900.00,157,2093
South Baylo University,CA,Accrediting Commission for Acupuncture and Oriental Medicine,1,4,2,11,0,6,,,,,,,,,,,,
South Coast College,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,12,3,1,0.7643,,,,,,0.276995,0.317757,0.489796,32000.00,43,178
Vanguard University of Southern California,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,12,11,11,0.8372,,,,,,0.484568,0.590331,0.665768,34700.00,61,696
Concorde Career College-Garden Grove,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,21,4,2,0.6859,,,,,,0.362637,0.493103,0.572581,31800.00,190,950
Southwestern College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0126,3193,4168,6559,7887,,0.333333,,,23400.00,525,2805
St John's Seminary,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,41,0,18,,,,,,,,,,,,
Starr King School for the Ministry,CA,Commission on Accrediting of the Association of Theological Schools,1,4,2,12,0,18,,,,,,,,,,,,
Marshall B Ketchum University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,83300.00,,
Southern California Institute of Architecture,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,6,0.2462,,,,,,0.473684,,,48400.00,,
University of Southern California,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,15,16,0.2887,,,,,,0.663559,0.767340,0.822828,53800.00,291,3564
Southwestern Law School,CA,American Bar Association,1,4,2,11,0,18,,,,,,,,,,74100.00,,
Taft College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,32,1,3,0.0000,9335,11365,10645,12798,,,,,22900.00,92,416
Claremont School of Theology,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,,,
Thomas Aquinas College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,42,14,8,0.6892,,,,,,,,0.866667,32000.00,,
Epic Bible College,CA,Transnational Association of Christian Colleges and Schools,1,2,2,21,5,6,0.6027,,,,,,0.234043,,,27500.00,35,82
United Education Institute-Huntington Park Campus,CA,Accrediting Council for Continuing Education & Training,1,1,3,21,-2,-2,0.7893,,,,,,0.173827,0.357257,0.486339,19300.00,2304,7943
Concorde Career College-San Bernardino,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,12,4,2,0.6681,,,,,,0.249089,0.417910,0.558559,24200.00,277,1241
Concorde Career College-North Hollywood,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,11,4,2,0.7068,,,,,,0.402318,0.495833,0.686275,32800.00,126,841
Ventura College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,4,0.0169,323,1118,4328,5334,8563,0.229508,0.300000,0.365854,26500.00,330,1550
The Santa Barbara and Ventura Colleges of Law at Ventura,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,12,0,18,,,,,,,,,,,,
Victor Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,4,0.0000,8131,8218,10505,12514,,0.111006,0.245033,0.382353,20400.00,997,2984
Berkeley City College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,12,1,3,0.0165,5072,6709,8595,10733,,0.234940,,,24300.00,235,611
Walden University,MN,Higher Learning Commission,1,3,3,11,5,15,0.5618,,,,,,0.165501,0.271206,0.486462,38800.00,412,2048
Waynes College of Beauty,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.0816,,,,,,,,,,,
West Hills College-Coalinga,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,32,1,2,0.0359,6642,6127,9901,13393,13559,0.253394,,,22400.00,149,664
West Los Angeles College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,5,12,0.0204,7524,8258,10339,14867,,0.188377,,,22600.00,347,1516
West Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0053,5811,6184,10379,11117,13263,0.432292,,,27800.00,234,809
Carrington College-Sacramento,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,3,21,3,2,0.3305,,,,,,0.259398,0.434576,0.608156,25700.00,1346,6112
Westminster Theological Seminary in California,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,,,
Westmont College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,22,14,11,0.5746,,,,,,0.648649,0.801653,0.819820,35600.00,,
Whittier College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,12,11,0.6835,,,,,,0.476684,0.592040,0.740602,33600.00,33,385
Woodbury University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,9,0.6230,,,,,,0.400000,0.528846,0.625954,34800.00,50,454
The Wright Institute,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,12,0,18,,,,,,,,,,,,
Thomas Jefferson School of Law,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,11,0,18,,,,,,,,,,,,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,Association of Advanced Rabbinical and Talmudic Schools,1,3,2,11,13,8,0.0000,,,,,,,,,,,
Yuba College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,22,1,3,0.0000,2643,4466,4946,,,0.240418,,,21600.00,829,2326
The Salon Professional Academy-Grand Junction,CO,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.7128,,,,,,0.322581,,,14000.00,,
Adams State University,CO,Higher Learning Commission,1,2,1,33,11,11,0.4874,10933,11106,14183,19633,18978,0.287166,0.459290,0.540351,26700.00,142,971
Aims Community College,CO,Higher Learning Commission,1,1,1,12,1,3,0.0863,8092,8586,10226,13187,13285,0.224742,0.444444,0.557325,28900.00,253,1288
Arapahoe Community College,CO,Higher Learning Commission,1,1,1,21,1,4,0.1374,6830,7370,10931,12657,13789,0.310465,0.471684,0.546784,32900.00,289,1775
Bel-Rea Institute of Animal Technology,CO,Accrediting Commission of Career Schools and Colleges,1,2,3,11,4,1,0.6871,,,,,,0.379121,0.444444,0.568000,27100.00,87,535
University of Colorado Denver/Anschutz Medical Campus,CO,Higher Learning Commission,1,3,1,11,9,15,0.3122,12099,13034,16253,20829,21837,0.488625,0.562264,0.628145,41500.00,339,3073
University of Colorado Colorado Springs,CO,Higher Learning Commission,1,3,1,11,9,15,0.4325,12183,12639,16199,19866,20020,0.479299,0.599808,0.681553,34600.00,217,1986
Spartan College of Aeronautics and Technology,CO,Accrediting Commission of Career Schools and Colleges,1,2,3,13,4,1,0.6286,,,,,,0.291595,0.457692,0.614583,39700.00,75,603
University of Colorado Boulder,CO,Higher Learning Commission,1,3,1,12,14,16,0.2792,13049,14945,19194,25875,27901,0.571340,0.681456,0.745455,39100.00,441,5113
Colorado Christian University,CO,Higher Learning Commission,1,3,2,12,5,12,0.5088,,,,,,0.299000,0.486250,0.694836,34200.00,134,885
Colorado College,CO,Higher Learning Commission,1,3,2,11,14,11,0.2254,,,,,,,,0.852217,34000.00,27,277
Concorde Career College-Aurora,CO,Accrediting Commission of Career Schools and Colleges,1,1,3,11,4,2,0.6218,,,,,,0.295723,0.437811,0.619718,27700.00,179,1150
Colorado Mountain College,CO,Higher Learning Commission,1,1,1,33,5,12,0.1222,4449,5400,7340,9755,10723,0.369598,0.590793,0.606061,28900.00,99,691
Colorado Northwestern Community College,CO,Higher Learning Commission,1,1,1,43,1,2,0.2381,11444,12384,14913,16743,16557,0.412088,0.520000,0.594937,30600.00,37,266
Colorado School of Mines,CO,Higher Learning Commission,1,3,1,21,14,13,0.4056,17386,19898,22270,28901,30890,0.809524,0.865000,0.923650,69200.00,50,866
Colorado School of Trades,CO,Accrediting Commission of Career Schools and Colleges,1,2,3,12,4,1,0.2924,,,,,,0.575758,0.639344,0.696970,33700.00,36,157
Colorado State University-Fort Collins,CO,Higher Learning Commission,1,3,1,12,15,16,0.4215,12834,13114,17880,24841,26049,0.575294,0.658326,0.706494,36800.00,367,5438
Colorado Technical University-Colorado Springs,CO,Higher Learning Commission,1,3,3,11,7,15,0.7480,,,,,,0.155476,0.289192,0.481916,27900.00,6789,22615
Community College of Aurora,CO,Higher Learning Commission,1,2,1,11,1,3,0.1479,15072,15915,18944,21002,21081,0.189255,0.347413,0.500000,30100.00,283,1691
CollegeAmerica-Denver,CO,Accrediting Commission of Career Schools and Colleges,1,2,2,11,4,1,0.8273,,,,,,0.102952,0.191740,0.235294,18600.00,476,1510
Technical College of the Rockies,CO,Council on Occupational Education,1,1,1,41,-2,-2,0.1540,5928,,,13898,,0.458824,0.545455,0.545455,27400.00,,
Community College of Denver,CO,Higher Learning Commission,1,2,1,11,5,12,0.1874,5512,6113,8218,11476,13064,0.155206,0.321778,0.410200,27100.00,553,2297
Lincoln College of Technology-Denver,CO,Accrediting Commission of Career Schools and Colleges,0,1,3,11,4,2,0.5969,,,,,,0.284814,0.489213,0.661538,29200.00,436,2880
Denver Seminary,CO,Commission on Accrediting of the Association of Theological Schools,1,4,2,21,0,18,,,,,,,,,,,,
University of Denver,CO,Higher Learning Commission,1,3,2,11,14,13,0.3608,,,,,,0.529586,0.612766,0.774624,44500.00,128,1219
Emily Griffith Technical College,CO,Council on Occupational Education,1,1,1,11,-2,-2,0.0000,5492,6881,8716,,,,,,20100.00,82,267
Fort Lewis College,CO,Higher Learning Commission,1,3,1,32,13,13,0.4213,12152,14364,17259,20050,21048,0.453767,0.534161,0.654545,28100.00,103,1206
Front Range Community College,CO,Higher Learning Commission,1,1,1,21,1,5,0.2310,7528,8308,10914,14121,15189,0.276935,0.456744,0.519089,30400.00,682,4082
Iliff School of Theology,CO,Higher Learning Commission,1,4,2,11,0,18,,,,,,,,,,,,
International Salon and Spa Academy,CO,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.5172,,,,,,0.273148,0.352941,0.629630,19200.00,71,226
Lamar Community College,CO,Higher Learning Commission,1,1,1,33,2,2,0.2429,8062,8374,11339,14428,15900,0.203046,0.477477,0.578947,25000.00,59,301
Colorado Mesa University,CO,Higher Learning Commission,1,3,1,13,11,13,0.4921,15884,16684,19443,21102,,0.311751,0.494565,0.598696,30700.00,269,2098
Metropolitan State University of Denver,CO,Higher Learning Commission,1,3,1,11,7,15,0.4247,13488,14067,16948,20178,21087,0.338102,0.462687,0.517875,34100.00,807,6229
Morgan Community College,CO,Higher Learning Commission,1,1,1,33,1,2,0.1309,7311,7794,10019,10046,,0.287066,0.510791,0.603774,25800.00,69,368
Naropa University,CO,Higher Learning Commission,1,3,2,12,11,7,0.5642,,,,,,0.516556,0.508475,0.675000,16300.00,47,148
Nazarene Bible College,CO,Higher Learning Commission,1,3,2,11,5,6,0.2759,,,,,,0.300546,0.423077,0.481481,29400.00,47,195
Northeastern Junior College,CO,Higher Learning Commission,1,1,1,33,2,2,0.3426,8794,9148,12307,15288,15426,0.355721,0.520000,0.636872,27200.00,73,607
University of Northern Colorado,CO,Higher Learning Commission,1,3,1,12,13,16,0.4693,9720,10647,13008,17255,20358,0.464341,0.566443,0.660714,33800.00,205,2939
Otero Junior College,CO,Higher Learning Commission,1,1,1,33,2,2,0.2398,9285,9892,11811,14082,15076,0.241470,0.454545,0.470588,25100.00,130,541
Altierus Career College-Thornton,CO,,1,1,2,21,3,1,0.6748,,,,,,0.153448,0.283737,0.344828,19400.00,714,2847
Pikes Peak Community College,CO,Higher Learning Commission,1,1,1,21,1,4,0.2041,7667,8517,11164,15121,15932,0.225076,0.430443,0.582069,25500.00,873,3591
Pueblo Community College,CO,Higher Learning Commission,1,1,1,12,5,12,0.3502,11114,11934,13862,18406,9033,0.221180,0.413873,0.553633,23800.00,656,2092
Red Rocks Community College,CO,Higher Learning Commission,1,1,1,12,5,12,0.2137,8176,8541,10480,12748,12679,0.287244,0.454068,0.532374,30200.00,339,1834
Regis University,CO,Higher Learning Commission,1,3,2,11,5,12,0.4716,,,,,,0.441609,0.545997,0.662621,50000.00,141,1595
Rocky Mountain College of Art and Design,CO,Higher Learning Commission,1,3,3,12,7,6,0.6204,,,,,,0.373684,0.493976,0.608108,27300.00,39,275
Montessori Education Center of the Rockies,CO,Montessori Accreditation Council for Teacher Education,1,1,2,12,-2,-2,0.2353,,,,,,,,,,,
Colorado State University-Pueblo,CO,Higher Learning Commission,1,3,1,12,11,13,0.6856,10276,10381,13206,16378,17336,0.366925,0.493671,0.589440,33900.00,262,1876
